sample,channel_idx,channel_name,time,band,fRMSE
0,0,density,0,low,0.15343306958675385
0,0,density,0,mid,1.0333528518676758
0,0,density,0,high,1.0252808332443237
0,0,density,1,low,0.18181996047496796
0,0,density,1,mid,1.0270472764968872
0,0,density,1,high,1.0203555822372437
0,0,density,2,low,0.17997406423091888
0,0,density,2,mid,1.0269216299057007
0,0,density,2,high,1.0178024768829346
0,0,density,3,low,0.15991827845573425
0,0,density,3,mid,1.0222316980361938
0,0,density,3,high,1.0145130157470703
0,0,density,4,low,0.13655734062194824
0,0,density,4,mid,1.0239129066467285
0,0,density,4,high,1.0187699794769287
0,0,density,5,low,0.14456163346767426
0,0,density,5,mid,1.015710473060608
0,0,density,5,high,1.0133635997772217
0,0,density,6,low,0.15413975715637207
0,0,density,6,mid,1.0231168270111084
0,0,density,6,high,1.0123826265335083
0,0,density,7,low,0.18697881698608398
0,0,density,7,mid,1.0084733963012695
0,0,density,7,high,1.0054117441177368
0,0,density,8,low,0.1775963008403778
0,0,density,8,mid,1.0035221576690674
0,0,density,8,high,1.006081223487854
0,0,density,9,low,0.14433221518993378
0,0,density,9,mid,1.0017379522323608
0,0,density,9,high,1.0026686191558838
0,0,density,10,low,0.16118234395980835
0,0,density,10,mid,1.0011004209518433
0,0,density,10,high,1.0011630058288574
0,1,pressure,0,low,0.17137420177459717
0,1,pressure,0,mid,1.011479139328003
0,1,pressure,0,high,1.012503743171692
0,1,pressure,1,low,0.21268633008003235
0,1,pressure,1,mid,1.0093170404434204
0,1,pressure,1,high,1.012028694152832
0,1,pressure,2,low,0.19567357003688812
0,1,pressure,2,mid,1.0076013803482056
0,1,pressure,2,high,1.0091017484664917
0,1,pressure,3,low,0.21147823333740234
0,1,pressure,3,mid,1.0068010091781616
0,1,pressure,3,high,1.008156418800354
0,1,pressure,4,low,0.1964772492647171
0,1,pressure,4,mid,1.0091650485992432
0,1,pressure,4,high,1.0090672969818115
0,1,pressure,5,low,0.2110915631055832
0,1,pressure,5,mid,1.0055434703826904
0,1,pressure,5,high,1.0066288709640503
0,1,pressure,6,low,0.20188409090042114
0,1,pressure,6,mid,1.0052865743637085
0,1,pressure,6,high,1.0039842128753662
0,1,pressure,7,low,0.21440981328487396
0,1,pressure,7,mid,1.0057072639465332
0,1,pressure,7,high,1.003546118736267
0,1,pressure,8,low,0.20519240200519562
0,1,pressure,8,mid,1.0022953748703003
0,1,pressure,8,high,1.0034316778182983
0,1,pressure,9,low,0.21650360524654388
0,1,pressure,9,mid,1.0007236003875732
0,1,pressure,9,high,1.0017789602279663
0,1,pressure,10,low,0.27595168352127075
0,1,pressure,10,mid,1.001805067062378
0,1,pressure,10,high,1.0019800662994385
0,2,Vx,0,low,1.0106462240219116
0,2,Vx,0,mid,1.005298376083374
0,2,Vx,0,high,1.0038508176803589
0,2,Vx,1,low,1.0115852355957031
0,2,Vx,1,mid,1.0013455152511597
0,2,Vx,1,high,1.0026592016220093
0,2,Vx,2,low,1.0282915830612183
0,2,Vx,2,mid,1.0036154985427856
0,2,Vx,2,high,1.0022728443145752
0,2,Vx,3,low,1.0208414793014526
0,2,Vx,3,mid,0.998876690864563
0,2,Vx,3,high,1.0015928745269775
0,2,Vx,4,low,0.996590256690979
0,2,Vx,4,mid,1.0001235008239746
0,2,Vx,4,high,1.0011967420578003
0,2,Vx,5,low,0.9764498472213745
0,2,Vx,5,mid,1.0009015798568726
0,2,Vx,5,high,1.0009658336639404
0,2,Vx,6,low,0.9780332446098328
0,2,Vx,6,mid,1.0003936290740967
0,2,Vx,6,high,1.001362681388855
0,2,Vx,7,low,0.9944872260093689
0,2,Vx,7,mid,1.0019712448120117
0,2,Vx,7,high,1.0009093284606934
0,2,Vx,8,low,1.0084198713302612
0,2,Vx,8,mid,1.0013203620910645
0,2,Vx,8,high,1.001305103302002
0,2,Vx,9,low,1.0188435316085815
0,2,Vx,9,mid,1.001009225845337
0,2,Vx,9,high,1.0006023645401
0,2,Vx,10,low,1.0454611778259277
0,2,Vx,10,mid,1.000180721282959
0,2,Vx,10,high,1.0002716779708862
0,3,Vy,0,low,1.0115751028060913
0,3,Vy,0,mid,1.00253427028656
0,3,Vy,0,high,1.0020172595977783
0,3,Vy,1,low,1.022924542427063
0,3,Vy,1,mid,1.0059504508972168
0,3,Vy,1,high,1.001856803894043
0,3,Vy,2,low,1.0067462921142578
0,3,Vy,2,mid,1.0040111541748047
0,3,Vy,2,high,1.0005871057510376
0,3,Vy,3,low,1.009992241859436
0,3,Vy,3,mid,1.0023761987686157
0,3,Vy,3,high,1.0007401704788208
0,3,Vy,4,low,1.0069966316223145
0,3,Vy,4,mid,1.0009154081344604
0,3,Vy,4,high,1.0002703666687012
0,3,Vy,5,low,1.0068821907043457
0,3,Vy,5,mid,1.0007346868515015
0,3,Vy,5,high,1.000539779663086
0,3,Vy,6,low,1.0006664991378784
0,3,Vy,6,mid,1.0023962259292603
0,3,Vy,6,high,1.0001879930496216
0,3,Vy,7,low,1.0006952285766602
0,3,Vy,7,mid,0.9990024566650391
0,3,Vy,7,high,1.000255823135376
0,3,Vy,8,low,1.0009764432907104
0,3,Vy,8,mid,1.0014322996139526
0,3,Vy,8,high,1.0001198053359985
0,3,Vy,9,low,1.0169262886047363
0,3,Vy,9,mid,1.0000704526901245
0,3,Vy,9,high,1.0001552104949951
0,3,Vy,10,low,1.0323837995529175
