sample,channel_idx,channel_name,time,band,fRMSE
0,0,density,0,low,0.20304562151432037
0,0,density,0,mid,1.0299726724624634
0,0,density,0,high,2.078662395477295
0,0,density,1,low,0.2483990490436554
0,0,density,1,mid,1.0409513711929321
0,0,density,1,high,1.938965916633606
0,0,density,2,low,0.19665515422821045
0,0,density,2,mid,1.0344312191009521
0,0,density,2,high,2.061025857925415
0,0,density,3,low,0.1420046091079712
0,0,density,3,mid,1.034519076347351
0,0,density,3,high,2.0251221656799316
0,0,density,4,low,0.13765473663806915
0,0,density,4,mid,1.026074767112732
0,0,density,4,high,2.0728585720062256
0,0,density,5,low,0.17732326686382294
0,0,density,5,mid,1.0495929718017578
0,0,density,5,high,2.3074629306793213
0,0,density,6,low,0.21387392282485962
0,0,density,6,mid,1.042236328125
0,0,density,6,high,2.428166151046753
0,0,density,7,low,0.24105210602283478
0,0,density,7,mid,1.0463213920593262
0,0,density,7,high,2.524813413619995
0,0,density,8,low,0.20912542939186096
0,0,density,8,mid,1.0465439558029175
0,0,density,8,high,2.5844287872314453
0,0,density,9,low,0.1504698097705841
0,0,density,9,mid,1.0452758073806763
0,0,density,9,high,2.4757251739501953
0,0,density,10,low,0.14664854109287262
0,0,density,10,mid,1.0402897596359253
0,0,density,10,high,2.412867307662964
0,1,pressure,0,low,0.2642110586166382
0,1,pressure,0,mid,1.0628695487976074
0,1,pressure,0,high,1.4975719451904297
0,1,pressure,1,low,0.30111512541770935
0,1,pressure,1,mid,1.0248411893844604
0,1,pressure,1,high,1.2935255765914917
0,1,pressure,2,low,0.292646199464798
0,1,pressure,2,mid,1.0284886360168457
0,1,pressure,2,high,1.2454948425292969
0,1,pressure,3,low,0.24261926114559174
0,1,pressure,3,mid,1.0282877683639526
0,1,pressure,3,high,1.2274090051651
0,1,pressure,4,low,0.18403099477291107
0,1,pressure,4,mid,1.018662452697754
0,1,pressure,4,high,1.2480690479278564
0,1,pressure,5,low,0.2327447384595871
0,1,pressure,5,mid,1.027976632118225
0,1,pressure,5,high,1.3096586465835571
0,1,pressure,6,low,0.31191033124923706
0,1,pressure,6,mid,1.03136146068573
0,1,pressure,6,high,1.2498188018798828
0,1,pressure,7,low,0.340035080909729
0,1,pressure,7,mid,1.0404328107833862
0,1,pressure,7,high,1.3173526525497437
0,1,pressure,8,low,0.2567833662033081
0,1,pressure,8,mid,1.0438700914382935
0,1,pressure,8,high,1.3916264772415161
0,1,pressure,9,low,0.19183334708213806
0,1,pressure,9,mid,1.0344719886779785
0,1,pressure,9,high,1.3111541271209717
0,1,pressure,10,low,0.20510579645633698
0,1,pressure,10,mid,1.0332087278366089
0,1,pressure,10,high,1.3454095125198364
0,2,Vx,0,low,1.1508580446243286
0,2,Vx,0,mid,1.1734631061553955
0,2,Vx,0,high,7.805813312530518
0,2,Vx,1,low,1.0417633056640625
0,2,Vx,1,mid,1.13328218460083
0,2,Vx,1,high,7.483796119689941
0,2,Vx,2,low,0.995897114276886
0,2,Vx,2,mid,1.1293752193450928
0,2,Vx,2,high,7.335321426391602
0,2,Vx,3,low,1.0209386348724365
0,2,Vx,3,mid,1.1312963962554932
0,2,Vx,3,high,7.353636741638184
0,2,Vx,4,low,1.0078139305114746
0,2,Vx,4,mid,1.1216076612472534
0,2,Vx,4,high,7.899111270904541
0,2,Vx,5,low,0.9826071858406067
0,2,Vx,5,mid,1.132747769355774
0,2,Vx,5,high,8.352084159851074
0,2,Vx,6,low,0.9648565649986267
0,2,Vx,6,mid,1.1368982791900635
0,2,Vx,6,high,9.4890775680542
0,2,Vx,7,low,0.9454516172409058
0,2,Vx,7,mid,1.1302984952926636
0,2,Vx,7,high,9.830305099487305
0,2,Vx,8,low,0.9722495675086975
0,2,Vx,8,mid,1.126807689666748
0,2,Vx,8,high,10.749256134033203
0,2,Vx,9,low,1.0129573345184326
0,2,Vx,9,mid,1.0686558485031128
0,2,Vx,9,high,9.715312004089355
0,2,Vx,10,low,1.023939847946167
0,2,Vx,10,mid,1.0916903018951416
0,2,Vx,10,high,11.156824111938477
0,3,Vy,0,low,1.065563440322876
0,3,Vy,0,mid,1.1064904928207397
0,3,Vy,0,high,3.925827980041504
0,3,Vy,1,low,1.0377615690231323
0,3,Vy,1,mid,1.0708355903625488
0,3,Vy,1,high,3.8356175422668457
0,3,Vy,2,low,0.9886415004730225
0,3,Vy,2,mid,1.079355239868164
0,3,Vy,2,high,3.50849986076355
0,3,Vy,3,low,1.0146268606185913
0,3,Vy,3,mid,1.056561827659607
0,3,Vy,3,high,3.52188777923584
0,3,Vy,4,low,1.0376307964324951
0,3,Vy,4,mid,1.0725734233856201
0,3,Vy,4,high,3.7407736778259277
0,3,Vy,5,low,1.006978154182434
0,3,Vy,5,mid,1.0704325437545776
0,3,Vy,5,high,4.172481536865234
