sample,channel_idx,channel_name,time,band,fRMSE
0,0,density,0,low,0.003996618557721376
0,0,density,0,mid,0.03941716253757477
0,0,density,0,high,0.5034013986587524
0,0,density,1,low,0.001509446301497519
0,0,density,1,mid,0.022189265117049217
0,0,density,1,high,0.31717368960380554
0,0,density,2,low,0.001058021909557283
0,0,density,2,mid,0.03252597153186798
0,0,density,2,high,0.42160218954086304
0,0,density,3,low,0.0017974808579310775
0,0,density,3,mid,0.04219193011522293
0,0,density,3,high,0.5975834131240845
0,0,density,4,low,0.0018205557717010379
0,0,density,4,mid,0.05706823989748955
0,0,density,4,high,0.8178480863571167
0,0,density,5,low,0.002282545203343034
0,0,density,5,mid,0.06451170891523361
0,0,density,5,high,0.9640563726425171
0,0,density,6,low,0.0023014957550913095
0,0,density,6,mid,0.07050997763872147
0,0,density,6,high,1.109135389328003
0,0,density,7,low,0.00261713657528162
0,0,density,7,mid,0.08455146104097366
0,0,density,7,high,1.3333156108856201
0,0,density,8,low,0.0036352667957544327
0,0,density,8,mid,0.09687355905771255
0,0,density,8,high,1.5600515604019165
0,0,density,9,low,0.0034976720344275236
0,0,density,9,mid,0.1100039854645729
0,0,density,9,high,1.7954357862472534
0,0,density,10,low,0.003732874756678939
0,0,density,10,mid,0.11871124058961868
0,0,density,10,high,1.990911841392517
0,1,pressure,0,low,0.0006341754924505949
0,1,pressure,0,mid,4.130212783813477
0,1,pressure,0,high,72.66925048828125
0,1,pressure,1,low,0.001034240354783833
0,1,pressure,1,mid,2.2577273845672607
0,1,pressure,1,high,38.9652099609375
0,1,pressure,2,low,0.0004988611908629537
0,1,pressure,2,mid,3.264996290206909
0,1,pressure,2,high,59.510528564453125
0,1,pressure,3,low,0.0005035453359596431
0,1,pressure,3,mid,3.6051249504089355
0,1,pressure,3,high,59.35575866699219
0,1,pressure,4,low,0.0002082712308038026
0,1,pressure,4,mid,5.075323104858398
0,1,pressure,4,high,67.08809661865234
0,1,pressure,5,low,0.00027940559084527194
0,1,pressure,5,mid,5.884644508361816
0,1,pressure,5,high,61.859230041503906
0,1,pressure,6,low,6.471219967352226e-05
0,1,pressure,6,mid,11.302544593811035
0,1,pressure,6,high,72.43171691894531
0,1,pressure,7,low,0.00037559980410151184
0,1,pressure,7,mid,11.621508598327637
0,1,pressure,7,high,81.08853912353516
0,1,pressure,8,low,0.00018370529869571328
0,1,pressure,8,mid,22.04616355895996
0,1,pressure,8,high,72.91505432128906
0,1,pressure,9,low,9.083527402253821e-05
0,1,pressure,9,mid,21.614334106445312
0,1,pressure,9,high,77.91239166259766
0,1,pressure,10,low,0.00038496602792292833
0,1,pressure,10,mid,35.32439422607422
0,1,pressure,10,high,70.35617065429688
0,2,Vx,0,low,4.5711870193481445
0,2,Vx,0,mid,16.356565475463867
0,2,Vx,0,high,513.7640380859375
0,2,Vx,1,low,5.441637992858887
0,2,Vx,1,mid,11.783560752868652
0,2,Vx,1,high,325.91632080078125
0,2,Vx,2,low,5.9119954109191895
0,2,Vx,2,mid,26.68453025817871
0,2,Vx,2,high,679.7063598632812
0,2,Vx,3,low,6.677775859832764
0,2,Vx,3,mid,22.760536193847656
0,2,Vx,3,high,655.75634765625
0,2,Vx,4,low,7.096311092376709
0,2,Vx,4,mid,39.63810729980469
0,2,Vx,4,high,1293.3670654296875
0,2,Vx,5,low,7.3231329917907715
0,2,Vx,5,mid,48.72696304321289
0,2,Vx,5,high,1180.97509765625
0,2,Vx,6,low,7.47105598449707
0,2,Vx,6,mid,83.52127075195312
0,2,Vx,6,high,1766.842529296875
0,2,Vx,7,low,7.611482620239258
0,2,Vx,7,mid,93.30950927734375
0,2,Vx,7,high,1999.36083984375
0,2,Vx,8,low,7.697446346282959
0,2,Vx,8,mid,133.9525604248047
0,2,Vx,8,high,2769.363525390625
0,2,Vx,9,low,7.7198920249938965
0,2,Vx,9,mid,176.82168579101562
0,2,Vx,9,high,2518.742431640625
0,2,Vx,10,low,7.735360145568848
0,2,Vx,10,mid,248.70468139648438
0,2,Vx,10,high,1990.40185546875
0,3,Vy,0,low,2.391665458679199
0,3,Vy,0,mid,14.905710220336914
0,3,Vy,0,high,419.819091796875
0,3,Vy,1,low,2.5308473110198975
0,3,Vy,1,mid,9.825759887695312
0,3,Vy,1,high,341.70123291015625
0,3,Vy,2,low,2.583977460861206
0,3,Vy,2,mid,17.293577194213867
0,3,Vy,2,high,560.1553955078125
0,3,Vy,3,low,2.6416661739349365
0,3,Vy,3,mid,29.361724853515625
0,3,Vy,3,high,670.2086791992188
0,3,Vy,4,low,2.66701602935791
0,3,Vy,4,mid,42.09340286254883
0,3,Vy,4,high,898.263427734375
0,3,Vy,5,low,2.6885359287261963
0,3,Vy,5,mid,31.351577758789062
0,3,Vy,5,high,985.8733520507812
0,3,Vy,6,low,2.690951347351074
0,3,Vy,6,mid,51.521156311035156
0,3,Vy,6,high,1259.9390869140625
0,3,Vy,7,low,2.7043426036834717
0,3,Vy,7,mid,105.32119750976562
0,3,Vy,7,high,1381.654052734375
0,3,Vy,8,low,2.7072839736938477
0,3,Vy,8,mid,136.45193481445312
0,3,Vy,8,high,1598.9451904296875
0,3,Vy,9,low,2.705465793609619
0,3,Vy,9,mid,96.31365203857422
0,3,Vy,9,high,1568.4901123046875
0,3,Vy,10,low,2.7099838256835938
0,3,Vy,10,mid,156.22372436523438
0,3,Vy,10,high,1300.91357421875
1,0,density,0,low,0.0031472332775592804
1,0,density,0,mid,0.03178367018699646
1,0,density,0,high,0.08341722190380096
1,0,density,1,low,0.0016093859449028969
1,0,density,1,mid,0.02263062261044979
1,0,density,1,high,0.06492675840854645
1,0,density,2,low,0.0016970856813713908
1,0,density,2,mid,0.01965993084013462
1,0,density,2,high,0.09311364591121674
1,0,density,3,low,0.0018067366909235716
1,0,density,3,mid,0.02449652925133705
1,0,density,3,high,0.1262054145336151
1,0,density,4,low,0.0026899934746325016
1,0,density,4,mid,0.03387552499771118
1,0,density,4,high,0.16803337633609772
1,0,density,5,low,0.002999888500198722
1,0,density,5,mid,0.04209472984075546
1,0,density,5,high,0.20539936423301697
1,0,density,6,low,0.0032510957680642605
1,0,density,6,mid,0.0485515221953392
1,0,density,6,high,0.23991326987743378
1,0,density,7,low,0.003927911631762981
1,0,density,7,mid,0.05862223356962204
1,0,density,7,high,0.2861468195915222
1,0,density,8,low,0.004658341407775879
1,0,density,8,mid,0.07003553211688995
1,0,density,8,high,0.3291642963886261
1,0,density,9,low,0.0054101841524243355
1,0,density,9,mid,0.0823398232460022
1,0,density,9,high,0.37434378266334534
1,0,density,10,low,0.005826169159263372
1,0,density,10,mid,0.09471563249826431
1,0,density,10,high,0.41101527214050293
1,1,pressure,0,low,0.0008413256728090346
1,1,pressure,0,mid,4.0937113761901855
1,1,pressure,0,high,7.386417388916016
1,1,pressure,1,low,0.0004554377228487283
1,1,pressure,1,mid,2.5078089237213135
1,1,pressure,1,high,6.9144744873046875
1,1,pressure,2,low,0.00045982832671143115
1,1,pressure,2,mid,2.6658313274383545
1,1,pressure,2,high,7.527303695678711
1,1,pressure,3,low,0.0003472420503385365
1,1,pressure,3,mid,1.8329230546951294
1,1,pressure,3,high,5.053567409515381
1,1,pressure,4,low,0.0002712415298447013
1,1,pressure,4,mid,4.854169845581055
1,1,pressure,4,high,12.282090187072754
1,1,pressure,5,low,0.0003498764708638191
1,1,pressure,5,mid,2.5840506553649902
1,1,pressure,5,high,6.631989479064941
1,1,pressure,6,low,0.00027191254775971174
1,1,pressure,6,mid,5.1691484451293945
1,1,pressure,6,high,11.367095947265625
1,1,pressure,7,low,0.0004156731883995235
1,1,pressure,7,mid,9.694289207458496
1,1,pressure,7,high,27.339523315429688
1,1,pressure,8,low,0.0002333110896870494
1,1,pressure,8,mid,8.098930358886719
1,1,pressure,8,high,17.527151107788086
1,1,pressure,9,low,0.0003086986253038049
1,1,pressure,9,mid,18.63521385192871
1,1,pressure,9,high,34.723697662353516
1,1,pressure,10,low,0.0003001521108672023
1,1,pressure,10,mid,15.855330467224121
1,1,pressure,10,high,47.67428970336914
1,2,Vx,0,low,0.7146396040916443
1,2,Vx,0,mid,11.400625228881836
1,2,Vx,0,high,32.053321838378906
1,2,Vx,1,low,0.701813280582428
1,2,Vx,1,mid,8.65764045715332
1,2,Vx,1,high,36.72793197631836
1,2,Vx,2,low,0.7007384300231934
1,2,Vx,2,mid,10.7009916305542
1,2,Vx,2,high,28.363662719726562
1,2,Vx,3,low,0.6958727836608887
1,2,Vx,3,mid,15.430877685546875
1,2,Vx,3,high,37.15586471557617
1,2,Vx,4,low,0.6947001814842224
1,2,Vx,4,mid,13.980864524841309
1,2,Vx,4,high,46.85280990600586
1,2,Vx,5,low,0.6941691637039185
1,2,Vx,5,mid,28.48568344116211
1,2,Vx,5,high,61.09195327758789
1,2,Vx,6,low,0.6912456154823303
1,2,Vx,6,mid,22.972640991210938
1,2,Vx,6,high,81.38680267333984
1,2,Vx,7,low,0.6906120777130127
1,2,Vx,7,mid,31.67106056213379
1,2,Vx,7,high,88.2380142211914
1,2,Vx,8,low,0.6906055808067322
1,2,Vx,8,mid,54.06680679321289
1,2,Vx,8,high,119.22827911376953
1,2,Vx,9,low,0.6904321312904358
1,2,Vx,9,mid,50.645469665527344
1,2,Vx,9,high,143.26731872558594
1,2,Vx,10,low,0.6907423138618469
1,2,Vx,10,mid,77.05440521240234
1,2,Vx,10,high,157.75482177734375
1,3,Vy,0,low,0.9263666272163391
1,3,Vy,0,mid,21.12336540222168
1,3,Vy,0,high,72.26617431640625
1,3,Vy,1,low,0.937422513961792
1,3,Vy,1,mid,23.560800552368164
1,3,Vy,1,high,133.20632934570312
1,3,Vy,2,low,0.8746801018714905
1,3,Vy,2,mid,22.81553840637207
1,3,Vy,2,high,92.14442443847656
1,3,Vy,3,low,0.7872322201728821
1,3,Vy,3,mid,37.25160217285156
1,3,Vy,3,high,114.21267700195312
1,3,Vy,4,low,0.6754114031791687
1,3,Vy,4,mid,39.46278762817383
1,3,Vy,4,high,234.94256591796875
1,3,Vy,5,low,0.7709087133407593
1,3,Vy,5,mid,52.01475143432617
1,3,Vy,5,high,170.09231567382812
1,3,Vy,6,low,0.7859659790992737
1,3,Vy,6,mid,71.31696319580078
1,3,Vy,6,high,352.7730712890625
1,3,Vy,7,low,0.741378903388977
1,3,Vy,7,mid,65.26732635498047
1,3,Vy,7,high,309.17462158203125
1,3,Vy,8,low,0.7256184220314026
1,3,Vy,8,mid,104.05865478515625
1,3,Vy,8,high,301.77557373046875
1,3,Vy,9,low,0.7087516188621521
1,3,Vy,9,mid,144.825927734375
1,3,Vy,9,high,580.7769775390625
1,3,Vy,10,low,0.7013987898826599
1,3,Vy,10,mid,156.44480895996094
1,3,Vy,10,high,612.2617797851562
